parent_id,district,districtId,label,municipality,message_id,text,createdOn
234wwd,Sør-Øst Politidistrikt,204,2,Lier,234wwd-0,19:23 Melding om brann i leilighet. Alle er evakuert. Nødetatene på vei. Oppdateres.  Politiet på stedet. Det brenner ut fra 2.etasje. Slokking pågår. Alle menneskene skal være ute og i god behold. Det brenner fortsatt og er mye røyk i området. Det er ikke kontroll på brannen. Slukking vil pågår en godt tid fremover. Brannvesenet melder kontroll på brannen. De to beboerne i leiligheten det startet å brenner har blitt kjørt til sykehuset for en sjekk. Dette da de har pustet inn en del røyk.,2023-07-15T17:24:50.8352371+00:00
234x07,Troms Politidistrikt,211,1,Tjeldsund,234x07-0,"@utrykningspol har gjennomført laserkontroll i 50-sone i Kongsvika. 17 bilførere ilagt forenklet forelegg. 1 bilfører, kvinne i 40-årene fikk førerkortet beslaglagt og anmeldes for høy hastighet. ",2023-09-07T10:33:46.7055915+00:00
234x37,Sør-Øst Politidistrikt,204,1,Modum,234x37-0,"I ""Korketrekkern"" har politiet hatt trafikkontroll. To førere fikk forenklet forelegg for bruk av håndholdt mob tlf, og 7 førere fikk gebyr for ikke bruk av bilbelte. ",2023-10-11T14:11:07.3565584+00:00
234x6k,Sør-Øst Politidistrikt,204,1,Tønsberg,234x6k-0,Kl. 10:46 Politiet fikk melding om en forlatt bil med kollisjonsskader på en nødlomme ved innkjøring Frodeåstunellen østgående løp. Bilen har kollidert i et autovern og fører forlot bilen på stedet.  Politiet har gjort undersøkelser på stedet og oppretter sak. Bilen står ikke trafikkfarlig til og vil berges iløpet av dagen.,2023-07-30T10:41:54.3477112+00:00
234x6v,Trøndelag Politidistrikt,209,12,Steinkjer,234x6v-0,"Politiet mottok melding om saknet person i forbindelse kajakkpadling i Figgjaelva. HRS ble varslet og redningsaksjon ble iverksatt. Personen er nå funnet i god behold.  Vedkommende om var meldt saknet hadde falt uti elva, men kommet seg opp selv. Han hadde deretter løpt til avtalt møtested. I og med slektningen hadde observert en tom kajakk, hadde han kjørt og lett etter han. Melder og slektning er nå lykkelig gjenforent.",2023-10-14T13:49:02.7904564+00:00
234xd9,Sør-Øst Politidistrikt,204,5,Drammen,234xd9-0,"Patruljen er på et utested etter melding om at det var to parter som kranglet/sloss på stedet. En person har fått slag i ansiktet og må bli sett til av ambulansepersonell. Det er rolig på stedet nå. Vi undersøker omstendighetene rundt hendelsen nå.  Den ene parten blir igjen på utestedet, og den andre, som var den aktive, blir kjørt legevakta for sjekk. Partene anmelder hverandre om de ønsker det. Vi avslutter på stedet.",2023-09-08T19:21:52.3966122+00:00
234xhd,Møre og Romsdal Politidistrikt,208,2,Kristiansund,234xhd-0,"Melding om brann i en garasje, nødetatene rykker ut til stedet. Saken oppdateres. Melding om brann i en garasje, nødetatene rykker ut til stedet. Saken oppdateres. Nødetatene er nå på stedet, brannen er slukket. Politiet er ferdig på stedet. Sak opprettes.",2023-09-03T14:33:48.1756421+00:00
234xkm,Sør-Øst Politidistrikt,204,2,Lier,234xkm-0,"12:25 Nødetatene på vei etter melding om røykutvikling fra en bil i Fosskolltunellen, nordgående felt. Oppdateres. Aktuelt tunnelløp er stengt inntil videre. Foreløpig ikke opplysninger om personskade. Nødetatene er på stedet. Brannvesenet har kontroll på røykutviklingen. Bergingsbil er varslet og på vei. Bilen er fjernet og veien er åpnet.",2023-08-02T10:31:00.9136729+00:00
234xpc,Vest Politidistrikt,207,1,Stad,234xpc-0,"Kl 1120 meldt om trafikkulykke i Sjøgata i Nordfjordeid. Ein bil involvert i ulykka, har køyrt utfor vegen og inn i ein lyktestolpe. Førar av bilen har komme seg ut av bilen, er vaken og medviten. Ikkje meldt om trafikale problem. Nødeatene rykkjer ut til staden.",2023-09-08T09:26:25.4864254+00:00
234xs5,Finnmark Politidistrikt,212,1,Hammerfest,234xs5-0,: Politiet kjører utrykning i Hammerfest området. Øvelseskjøring. Ingen pågående oppdrag. ,2023-10-09T11:57:23.82842+00:00
234xsr,Trøndelag Politidistrikt,209,1,Stjørdal,234xsr-0,"Flere melder om el-rullestol på E6, kjører sørover i nordgående løp.  Er nå ved tunnelen. Patrulje på vei til stedet. En annen trafikant har hjulpet vedkommende i rullestol vekk fra E6 og inn på gangveien.  Patrulje er også på stedet.",2023-07-24T00:26:31.6071563+00:00
234xwg,Trøndelag Politidistrikt,209,1,Midtre Gauldal,234xwg-0,"Politi og ambulanse rykker til til trafikkuhell. En bil kjørt ut av veien. Bilfører sier seg uskadd, airbagger ikke utløst. Patrulje har tatt beslag i førerkortet, oppretter sak.",2023-07-28T13:21:38.0873293+00:00
234z14,Trøndelag Politidistrikt,209,1,Orkland,234z14-0,"UP har hatt fartskontroll ved Søvatnet. Her ble det utferdiget 4 forenklede forelegg, høyeste hastighet var 112 km/t i 80 sonen. Politiet har tatt avhør av siktede, han erkjenner ikke straffeskyld. Samtykker ikke til førerkortbeslag.",2023-08-11T11:57:41.7699887+00:00
234z55,Øst Politidistrikt,202,1,Indre Østfold,234z55-0,Trafikkulykke mellom bil og traktor på Haldenveien i Ørje sentrum.  To personer involvert. Nødetatene er på vei til stedet.  Nødetatene ferdig på stedet. Fører av personbil anmeldes for brudd på vikeplikt og førerkortet er beslaglagt på stedet. Sjekket av helsepersonell på stedet.,2023-09-15T08:24:45.5301455+00:00
234z7g,Sør-Øst Politidistrikt,204,1,Tønsberg,234z7g-0,10:40 Sivil UP-patrulje stanset mannlig bilist i 40-åra pga uaktsom kjøring. Det er også mistanke om ruskjøring. Fremstilles for blodprøve og sak opprettes. Det er besluttet førerkortbeslag.,2023-06-06T09:34:00.123538+00:00
234zff,Sør-Øst Politidistrikt,204,5,Sandefjord,234zff-0,"Kl. 00:00 En mann i midten av 20-årene har vært et ordensproblem ved å være plagsom og truende mot personer. Han ble bortvist fra området av patruljen noe før midnatt. Han klarte ikke følge dette pålegget og er nå innbrakt til arresten.  I tillegg bli han anmeldt for brudd på politiets pålegg, ordensforstyrrelse og forulemping av politiet, da han kom med skjellsord og trusler mot patruljen.",2023-08-07T23:27:58.971177+00:00
234zg0,Sør-Øst Politidistrikt,204,1,Skien,234zg0-0,kl 12:57 - UP har i løpet av dagen avholdt trafikkontroll ved FV356. Fartsgrense på sted for kontroll er 60 km/t. En fikk forenklet forelegg etter å ha blitt målt til 83 km/t. ,2023-09-11T11:59:58.9589946+00:00
234zk1,Innlandet Politidistrikt,203,1,Elverum,234zk1-0,kl. 14:35: en lokal bilfører i 30-årene er i dag tatt to ganger for kjøring uten gyldig førerkort. Siste gang påtruffet på Grindalsmoen i Elverum. Fører har flere tilsvarende forhold fra før. Bilen er besluttet tatt i beslag av politiet. Sak opprettes.,2023-10-15T13:24:39.1727993+00:00
234znb,Vest Politidistrikt,207,1,Vik,234znb-0,"kl. 2133: Me og brannvesen rykkjer ut til Storehaugtunnelen på RV13. Meldt om mykje røyk i tunnelen og lukt av brunnen gummi. Ikkje noko som tyder på brann, men me rykkjer ut for å undersøkja årsaka til røyken. Tunnelen er førebels stengd. Nødetatane ferdig på staden. Ukjend årsak til røyken, ikkje lokalisert. Ikkje noko røyk der no. Tunnelen open igjen.",2023-08-05T19:55:45.9574569+00:00
234zns,Innlandet Politidistrikt,203,1,Stange,234zns-0,"Kl. 1434: Utrykningspolitiet har stanset en bil hvor sjåføren ikke har gyldig førerkort. Sjåføren en mann i 20 årene, anmeldes for kjøring uten gyldig førerkort. Sak opprettes. ",2023-10-19T12:52:39.4149461+00:00
234zrc,Nordland Politidistrikt,210,5,Bodø,234zrc-0,2 menn i 20 årene bortvist fra Bodø sentrum ifbm ordensforstyrrelse. Bortvist fram til kl 0800.,2023-09-10T00:52:56.1071277+00:00
234zst,Nordland Politidistrikt,210,1,Bodø,234zst-0,"Kl. 1419 kjørte en lastebil under Flymuseet i Olav V.gt Kranen på lastebilen tok opp i taket og rev med seg plater, isolasjon og trevirke fra bygget. Ett kjørefelt er åpent nå. Byggeier skal foreta inspeksjon av taket før veien åpnes helt. ",2023-08-21T13:29:42.3768416+00:00
234zt3,Sør-Øst Politidistrikt,204,4,Sandefjord,234zt3-0,kl 15:46 - E18 Sørgående kjørefelt i nærheten av Ramsum rasteplass - Nødetater er på vei til stedet etter melding om trafikkulykke mellom to kjøretøy i samme kjøreretning. De involverte skal være oppegående og ute av kjøretøyene.  Hendelsen skal være i venstre kjørefelt. Oppdateres når nødetater ankommer. Nødetater og bilberger er på stedet. Uhellet er mellom en varebil og en personbil. 3 personer involvert. Det er sjekket ut av ambulanse. Trafikk passerer sakte forbi i høyre kjørefelt (sør-gående). Bilene berget. Nødetater avslutter på stedet.,2023-09-13T13:51:26.7248486+00:00
234zw3,Vest Politidistrikt,207,0,Bergen,234zw3-0,kl 0003: meldt om innbrot i bustad. Truleg skjedd tidlegare på kvelden. Politiet vore på staden og gjennomført undersøkingar. Opprettar sak.,2023-10-21T03:38:00.5565053+00:00
234zx3,Agder Politidistrikt,205,1,Arendal,234zx3-0,Politiet har gjennomført trafikkontroll på stedet. En bilfører anmeldes for å kjøre uten gyldig førerkort. ,2023-10-17T23:10:01.6150777+00:00
234zxd,Sør-Øst Politidistrikt,204,1,Flå,234zxd-0,14:02 Melding om trafikkulykke der en bil har kjørt ut av veien. Fremstår  ikke som noen personskade eller alvorlig ulykke pr nå. Nødetatene på vei.  Patrulje har vært på stedet. En bil som har kjørt cirka 50 meter ut på et jorde. Kun fører har vært i bilen og er kjørt til sykehus for sjekk. Antatt ikke alvorlig skadd. Politiet oppretter sak. ,2023-05-29T12:23:29.666902+00:00
235025,Øst Politidistrikt,202,2,Ullensaker,235025-0,"Bilbrann ved Gardermovegen 160, ikke meldt om personskade eller fare for spredning. Nødetatene på stedet. Brannen slukket, politiet oppretter sak.",2023-09-30T19:03:04.4406118+00:00
235049,Sør-Øst Politidistrikt,204,7,Horten,235049-0,"17:14 Melding fra en ung mann som hadde blitt utsatt for vold. Politiet til stedet og pågrep en  mann i slutte av tenårene. Det er en relasjon mellom de involverte, uten at vi har helt kartlagt motivet enda. Fornærmede er ikke alvorlig skadet. Opprettes sak. ",2023-07-16T16:33:02.866324+00:00
23504r,Trøndelag Politidistrikt,209,1,Orkland,23504r-0,"En ATV målt til 97 km/t. Kjøretøyet er registrert som traktor. Førerkort tatt i midlertidig beslag, og forholdet blir anmeldt. Fører var en gutt i tenårene.",2023-10-03T21:15:24.6121644+00:00
235070,Nordland Politidistrikt,210,2,Hamarøy,235070-0,Melding om brann i bobil på nordsiden av tunnelen. Bobilen skal stå ved siden av E6. Alle skal være kommet seg ut av bobilen og det er ikke meldt om personskade. Det meldes om redusert fremkommelighet pga brannen. Nødetatene på tur til stedet. Brannen skal være slukket. Det opprettes omkjøring via gamle E6. Det foretas avhør av de involverte og sak opprettes.,2023-07-21T10:48:58.87806+00:00
2350b1,Agder Politidistrikt,205,1,Lyngdal,2350b1-0,Mopedbil med to personer i har kjørt ut av veien ved Byremo. Politi og ambulanse er nå på  stedet. Begge fremstår uskadde.  De to ungdommene blir kjørt med ambulanse til sykehuset i Kristiansand for sjekk.  Føreren av mopedbilen har ikke gyldig førerkort.,2023-08-28T12:43:41.3545809+00:00
2350bb,Trøndelag Politidistrikt,209,1,Orkland,2350bb-0,UP har gjennomført fartskontroll i 40-sone.  Endte med at fem sjåfører ble gitt forenklet forelegg.,2023-08-16T09:14:29.3899984+00:00
2350bv,Sør-Øst Politidistrikt,204,5,Kongsberg,2350bv-0,00:25 Melding fra et utested om en sint og full gjest som ville slåss med dørvaktene. Politiet til stedet og en lokal mann i 20 årene ble innbrakt til arresten. ,2023-07-01T00:02:40.0579045+00:00
2350ds,Sør-Øst Politidistrikt,204,1,sandefjord,2350ds-0,Politiet har gjennomført trafikkontroll ved Haukerød skole. 47 bilførere ble kontrollerte. Det ble ikke gitt noen reaksjoner fra politiet.,2023-09-01T07:12:16.4799196+00:00
2350fn,Agder Politidistrikt,205,5,Kristiansand,2350fn-0,"Vi har vært på legevakta i Kristiansand etter melding om ordensforstyrrelse, mann som utagerte verbalt og virket skremmende på andre kunder og ansatte. Innbrakt til arrest og anmeldt for ordensforstyrrelse. ",2023-08-26T18:53:34.0772456+00:00
2350jt,Agder Politidistrikt,205,2,Vegårshei,2350jt-0,"Kl 1928 Melding om brann i hytte ved Nordfjorden i Vegår, på nordsiden av vannet. Fremstår som at det ikke er kjørevei frem.  Personer skal være ute av hytta. Skal brenne godt nå. Nødetatene er på vei. Oppdateres. Nødetatene begynner å ankomme stedet og har startet sitt arbeid. To personer har fått tilsyn av helsepersonell, ikke behov for videre oppfølging. Politiet tar avhør på stedet for å få mer klarhet i hva som har skjedd. Brannårsak er så langt uklar.",2023-10-05T17:35:50.740846+00:00
2350l3,Agder Politidistrikt,205,5,Kristiansand,2350l3-0,Kl 23:50: Politiet i kontakt mede mann som har vært i klammeri med vakter på utested i sentrum. Vedkommende bortvises.,2023-07-23T00:24:37.1352368+00:00
2350lk,Vest Politidistrikt,207,1,Ullensvang,2350lk-0,"Hardanger #Fjordavegen kl 0305:  Politiet er på stedet i samband med ei trafikkulykke. 2 bilar involverte, påkøyrsel bakfrå. Totalt 3 personar involverte, 1 person i bilen som vart påkøyrd.    2 personar frakta sjukehus, medvitne begge to. Begge var i bilen som køyrde på.",2023-10-08T03:22:59.2494771+00:00
23510b,Trøndelag Politidistrikt,209,5,Trondheim,23510b-0,"Flere telefoner til politiet om slagsmål utendørs på Kattem. Flere personer involvert. Politi ankommet og rolig på stedet nå. Gutter og jenter involvert, alderen 17-24 år. Ingen personskade. Foreldre til de under 18 år orientert. Ingen anmeldelse fra politiets side.",2023-10-13T22:46:56.7954355+00:00
23510x,Nordland Politidistrikt,210,1,Leirfjord,23510x-0,"Politiet har gjennomført promillekontroll ved ""byggeklossene"" på Leland. 55 førere kontrollert. Ingen reaksjoner. Tommel opp. ",2023-07-29T09:29:29.4103975+00:00
23512n,Troms Politidistrikt,211,5,Tromsø,23512n-0,Politiet har rykket ut til slagsmål mellom 2 ungdomsgjenger. Kontroll på 9 personer. De fleste er under 18 år. Ingen er skadd. Politiet vil følge opp denne saken. ,2023-08-02T21:19:30.7860663+00:00
23515p,Troms Politidistrikt,211,5,Tromsø,23515p-0,Politiet rykket ut til et utested hvor en vekter var slått av en beruset gjest. Mistenkte ble bortvist fra sentrum resten av natta og vil bli anmeldt for forholdet. ,2023-09-07T23:36:06.5207812+00:00
235184,Møre og Romsdal Politidistrikt,208,1,Averøy,235184-0,Trafikkuhell i Røsandkrysset. Bil og sykkel har kollidert. Syklist er oppegående. Han blir undersøkt av ambulansepersonell på stedet.,2023-09-22T15:19:25.2635807+00:00
23518d,Vest Politidistrikt,207,1,Bergen,23518d-0,"Meldt om trafikkulykke i Fjøsangerveien retning sør, ca v/Jæger. Personbil og lastebil. Skal ikke være alvorlige personskader. Nødetatene er på vei. Skjedd ifm feltskifte, ikke personskader. Veien er ryddet, fri ferdsel. Vi snakker med begge førerne.",2023-09-10T13:21:30.1574504+00:00
2351cf,Troms Politidistrikt,211,5,Senja,2351cf-0,"Politiet ble tilkalt til et utested i sentrum, idet en gjest der  var utagerende og uønsket på stedet. Politiet har bortvist mannen fra sentrum resten av natta.",2023-10-15T00:13:23.6441278+00:00
2351fq,Sør-Øst Politidistrikt,204,7,Drammen,2351fq-0,"Politiet etterforsker et personran som skjedde ved 0100 tiden. Fornærmede hevder seg truet med kniv, og fraranet mobil, penger og klokker. Gjerningspersonene kom på sparkesykler og dro derifra på disse og bort til en bil. Vi ser etter bil med personene i.  Vi har pr nå ikke funnet gjerningspersonene. De var tre stykker pluss en sjåfør som ventet i ""fluktbilen"". Fornærmede forklarer at de presset kniv mot kroppen hans. Han kom ikke fysisk til skade. Vi etterforsker saken videre gjennom natten. Sak opprettet.",2023-08-04T23:56:49.1104136+00:00
2351nv,Sør-Øst Politidistrikt,204,4,Kviteseid,2351nv-0,kl 14:39 - Nødetater er på vei til E134 etter melding om trafikkulykke. Enslig kjøretøy skal ha truffet autovern. 4 personer involvert. Publikum dirigerer trafikk på stedet. Oppdateres når nødetatene ankommer stedet  Nødetater er på stedet. Involverte sjekkes ut av ambulanse på skadestedet. Det fremstår pr nå som mindre materielle skader. Politiet undersøker hendelsesforløp. Involverte sjekket ut av ambulanse. Bilen er berget. Nødetatene har avsluttet på stedet.,2023-07-27T12:57:32.8999199+00:00
2351sw,Trøndelag Politidistrikt,209,6,Trondheim,2351sw-0,"Ei kvinne i 30-årene som skulle kjøres fra et utested til arresten pga ordensforstyrrelse satte seg kraftig til motverge og bet en polititjenesteperson. Anmeldes for vold, innsatt i arrest. ",2023-09-02T19:01:28.0019299+00:00
2351vl,Sør-Øst Politidistrikt,204,1,Larvik,2351vl-0,"Melding om trafikkulykke hvor en bil ligger på taket. Nødetatene rykker ut. Ser ut som det kun er en bil involvert og en person som er bevisst. Oppdateres. Nødetatene er på stedet. Fører blir tilsett av ambulanse. Trafikken flyter greit. En mann i 30 årene er lettere skadet. Bilen har av ukjent grunn kjørt ut av veien, inn i et skilt og havnet på taket.",2023-09-06T09:48:35.5784615+00:00
2351zm,Innlandet Politidistrikt,203,1,Elverum,2351zm-0,Utrykningspolitiet har avholdt trafikkontroll i 60 km/t sonen. Det ble utskrevet 17 forenklede forelegg. Høyeste hastighet var 85km/t. ,2023-10-10T12:46:22.0174746+00:00
235218,Møre og Romsdal Politidistrikt,208,0,Ørsta,235218-0,Sent lørdag fikk politiet inn melding om et innbrudd i et hus. Patrulje har vært på stedet og sikret spor. Sak opprettes.,2023-09-17T01:52:53.1931488+00:00
23521v,Sør-Øst Politidistrikt,204,2,Drammen,23521v-0,"Nødetatene rykker ut etter melding om utløst alarm på stedet. Noe røyklukt på stedet, men ikke synlig brann noe sted.  Lukta kan ha kommet fra et kjøleskap som det har vært kortslutning i. 

Nødetatene er ferdig på stedet.",2023-06-02T15:52:54.1186369+00:00
23523k,Sør-Øst Politidistrikt,204,1,Drammen,23523k-0,En mann i 40 årene er bortvist fra Drammen sentrum i 24 timer etter å ha demontert og brukt et brannslukningsapparat i tunnelen. Politiet kjenner mannen fra før som var ruset. Statens Vegvesen vurderer anmeldelse for ugjerningen.  ,2023-06-15T05:30:18.6230562+00:00
235249,Trøndelag Politidistrikt,209,5,Namsos,235249-0,Politiet på stedet etter meldinger om slåssing utenfor utested. 2 personer kjøres til legevakt  etter hendelsen.,2023-10-22T00:44:28.6622371+00:00
23526l,Vest Politidistrikt,207,11,Bergen,23526l-0,"Meldt om en speedbåt som har kantret, alle ombord skal være redegjort for. Nødetatene rykker ut. To gutter i tenårene var ombord, er ikke fysisk skadet. Hentet inn av brannvesenets båt. Vi snakker med dem for å prøve å kartlegge årsaken til hendelsen.",2023-08-12T08:17:44.2783024+00:00
2352f4,Vest Politidistrikt,207,1,Askøy,2352f4-0,Askøybroen retning Askøy kl 1540: politiet er på vei til stedet etter melding om kjøretøystans. Skaper en del kø. VTS er informert. Politiet er på stedet. Det er en el-bil som har gått tom for strøm. Vi har manuell dirrigering på stedet. Bilberger er på stedet. Bilen er fjernet. Trafikken går som normalt igjen.,2023-10-18T13:45:58.7931852+00:00
2352kf,Sør-Øst Politidistrikt,204,6,Tønsberg,2352kf-0,"12:55 Politiet er på stedet etter melding om en voldshendelse. Noen uklart hendelsesforløp, men ikke alvorlig personskade. Patruljen tar i mot forklaring fra to involverte i saken.  Saken etterforskes videre og sak opprettes.",2023-09-14T11:32:15.7327251+00:00
2352mg,Troms Politidistrikt,211,4,Nordreisa,2352mg-0,"patrulje har rykket ut til arbeidsulykke i Sørkjosen. En person skal ha skadet seg i forbindelse med handtering av gods i en lastebil og ivaretas av helse, uviss skadegrad. Patrulje gjør nærmere undersøkelser på stedet.  En mann i 20 årene ble skadd i forbindelse med ulykken. Han ble flydd til UNN i Tromsø med luftambulanse. Skadeomfang er ukjent, men han var våken og snakket med politiet før han dro. Arbeidsgiver varslet om hendelsen. Sak opprettes.",2023-09-12T12:26:04.3533769+00:00
2352t6,Vest Politidistrikt,207,7,Voss,2352t6-0,Kl 1134. Melding om større stein i vegbanen I Kvanndal. Politiet er på staden. Større kjøretøy kjem ikkje forbi. Trafikkdirigering pågår.  Steinen er fjerna og vegen er open. Politiet har avslutta på staden.,2023-10-20T10:21:24.4644573+00:00
2352ts,Øst Politidistrikt,202,1,Halden,2352ts-0,"krysset Bjørnstadgata i Tistedal. Trafikkulykke med personskade. Påkjørsel bakfra mellom 2 MC'er. Nødetatene er på stedet. En fører trolig lettere skadet, og behandles i ambulanse.  Skadet MC fører kjøres i ambulanse til sykehus. Nødetatene ferdige på stedet, og politiet oppretter sak.",2023-08-06T13:38:43.9066707+00:00
2352wj,Møre og Romsdal Politidistrikt,208,7,Sula,2352wj-0,"Det ligg to ukjente båtar ved ei flytebrygge  langs Kongshaugstranda.
Vi ber eigar om å ta kontakt med politiet på tlf 02800. Eigaren av båtane har tatt kontakt med politiet.",2023-08-10T12:20:54.5073878+00:00
23539b,Møre og Romsdal Politidistrikt,208,1,Volda,23539b-0,Fartskontroll i Kvivstunnelen i 80 sone. 4 forenkla forelegg. Høgste fart 101 km/t.,2023-08-15T19:37:28.0517163+00:00
2353c2,Sør-Øst Politidistrikt,204,1,Jevnaker,2353c2-0,"Nødetatene rykker ut til melding om en MC som har kjørt av veien. Skal ikke være andre kjøretøy involvert. Fører av MC er våken og prater. Fremstår som lettere skadd. Oppdateres. Fører, gutt i tenårene, kjørt til sykehus med ambulanse. Smerter i bein og hofter. Ukjent skadeomfang. MC kjørt ut i sving, men ukjent årsak til hendelsen. Sak opprettes.",2023-09-19T15:58:11.6959212+00:00
2353cl,Vest Politidistrikt,207,7,Kinn,2353cl-0,Kl. 1019 varslet Avinor politiet om droneflyging innenfor innflygningssonen til Florø lufthavn. Politiet kjørte til stedet og fikk kontakt med dronepilot som tok bilder av hus på oppdrag for megler. Dronepilot blir anmeldt for forholdet.,2023-08-17T09:50:10.9400498+00:00
2353db,Agder Politidistrikt,205,6,Arendal,2353db-0,"Kl. 1316, politiet kjører til Vestre gate. Innringer sier han har blitt sprayet med pepperspray i ansiktet.  Patrulje er på stedet og har kontroll på begge parter. Nøster i hva som har skjedd. Skal ha vært en krangel mellom to parter. Den ene parten forklarer at han har følt seg truet. Mener han har sprayet i selvforsvar. Ikke behov for helsetilsyn av noen av partene. Begge bortvises fra sentrum og det opprettes en anmeldelse.",2023-09-19T11:32:04.7968857+00:00
2353h2,Nordland Politidistrikt,210,5,Rana,2353h2-0,Vanskelig gjest har slått til vekter på utested. Da politiet kom frem var fuglen fløyet. Anmeldes av vekter.,2023-09-22T23:41:59.9852197+00:00
2353hn,Sør-Øst Politidistrikt,204,1,Drammen,2353hn-0,"15:00 UP patrulje stanset bil hvor fører. en mann i 30 årene,  ikke var innehaver av gyldig førerkort. Han er også mistenkt for kjøring i ruspåvirket tilstand. Nødvendige prøver tatt.",2023-06-21T15:00:51.4395161+00:00
2353kc,Sør-Øst Politidistrikt,204,0,Porsgrunn,2353kc-0,07:57 fikk vi melding om at det hadde vært innbrudd hos en entreprenør i løpet av helgen. Låser er skåret opp/brutt opp. Det er stjålet diverse verktøy. Politiet har vært på stedet og gjort undersøkelser. ,2023-07-03T07:09:04.602894+00:00
2353nd,Sør-Øst Politidistrikt,204,1,Larvik,2353nd-0,UP stanset en mc fører etter å ha målt han til 91 km/t i 60-sonen. Gutten er lokal og i tenårene .Han kjørte lett mc. Foreldre varslet. Førerkortet beslaglagt og sak opprettet. ,2023-08-17T21:31:16.8779783+00:00
2353r3,Nordland Politidistrikt,210,1,Hadsel,2353r3-0,"Nødetatene rykker ut til trafikkulykke. Sammenstøt mellom MC og personbil. Involverte er bevisst og er oppe og går. Oppdateres her!
 Ikke personskader. Partene ordner opp seg imellom med skademelding.",2023-08-20T12:08:10.6051326+00:00
2353v4,Troms Politidistrikt,211,1,Tromsø,2353v4-0,patrulje har beslaglagt førerkortet til mann i 20-årene grunnet fartsmåling i 50-sone på Kvaløysletta. Sak opprettes.,2023-09-24T02:42:25.9300714+00:00
2353xf,Sør-Øst Politidistrikt,204,2,Tønsberg,2353xf-0,"kl 00:20 - Nødetater er på vei til Valløveien etter melding om brann i en enebolig. Alle beboere er gjort rede for. Pr nå er det 50m sikkerhetsavstand. Oppdateres. Nødetatene er på stedet. Brannvesenet har iverksatt slokkeinnsats. Pr nå er det spredningsfare. Politiet jobber med å få oversikt på stedet. Det er mye publikum på stedet. Det tre nærmeste nabohusene er midlertidig evakuert av politiet. Slokkeinnsats pågår fortsatt. 4 personer er sjekket ut av ambulanse på stedet. Beboere i et av nabohusene er fortsatt evakuert. De tar inn på hotell. Beboere i aktuelt hus forlegges hos venner og familie. Etterslokking pågår fortsatt og vil pågå i mange timer. Valløveien FV3128 vil også være stengt på stedet ut over morgentimene. Et kjørefelt i Valløveien er åpnet, slik at trafikk kan passere. Etterslokking vil pågå videre ut over morgenen.",2023-07-07T22:31:23.9892345+00:00
2353zc,Sør-Øst Politidistrikt,204,1,Porsgrunn,2353zc-0,"Flere meldinger om en bil som står hensatt på en sti. Patrulje til stedet og mener at bilen må fjernes. Berging bestilt og bilen hentet. Den var ikke etterlyst, men står på et sted det ikke skal kjøres. Pat oppretter sak. ",2023-06-11T13:18:39.1947584+00:00
235426,Sør-Øst Politidistrikt,204,1,Kongsberg,235426-0,kl 13:25 - I forbindelse med aksjon skolevei har politiet avholdt trafikkontroll ved skolen. 21 Kontrollert. Alt ok ,2023-08-22T12:26:59.9411965+00:00
23544z,Trøndelag Politidistrikt,209,1,Trondheim,23544z-0,"UP har gjennomført trafikkontroll i 40-sone. Det ble skrevet ni forenklede forelegg og høyeste hastighet ble målt til 76km/t. Fører av MC ble målt til 76km/t  og kjørte på bakhjulet, han fikk sitt førerkort beslaglagt og mangellapp på DB-killer.",2023-08-25T13:53:31.4232987+00:00
23545n,Sør-Øst Politidistrikt,204,1,Ringerike,23545n-0,kl 09:13 - FV350 - UP har i løpet av formiddagen avholdt trafikkontroll. Fartsgrense på sted for kontroll er 70 km/t. 14 fikk forenklet forelegg for å ha kjørt for fort. Høyeste hastighet 95 km/t.,2023-07-13T09:35:12.5939078+00:00
23548q,Trøndelag Politidistrikt,209,7,Trondheim,23548q-0,Flere butikker i Midtbyn`n har blitt utsatt for en butikk tyv.  Vedkommende er nå tatt pågrepet av politiet.  Vedkommende blir tatt med til Trondheim politistasjon for videre etterforskning.,2023-09-29T11:30:37.9147578+00:00
2354b7,Vest Politidistrikt,207,5,Kinn,2354b7-0,"Kl 0224 meldt om slagsmål og aggresiv åtferd blant fleire. Patrulje til staden, enda med at ein mann meldt for urinering og ein meld for ordensforstyrring, og begge vist bort frå sentrum, begge i 30-åra. Andre forlét området frivillig. Ingen alvorleg skadd.",2023-07-15T06:07:28.7931248+00:00
2354bp,Agder Politidistrikt,205,1,Lindesnes,2354bp-0,UP har gjennomført fartskontroll v/Skogsfjord. Totalt 6 bilførere har blitt ilagt forenklede forelegg. Høyeste hastighet målt til 76 km/t i 60 sone.,2023-10-02T11:44:19.6896519+00:00
